Stage,edt_time,pt_time,Team_1,Team_2,Match,Location,FULL_DATETIME_TMP,day_of_week,after_4pm_pt,game_tree,highlight
Group A,"Wednesday, June 24, at 9:00 PM",6:00 PM,Czechia,Mexico,53,"Estadio Azteca, Mexico City",2026-06-24 21:00:00,Wednesday,True,Wednesday | Match 53 | Czechia vs Mexico | 6:00 PM PT | Wednesday,🔥 AFTER 4PM PT
Group A,"Wednesday, June 24, at 9:00 PM",6:00 PM,South Africa,South Korea,54,"Estadio BBVA, Guadalupe",2026-06-24 21:00:00,Wednesday,True,Wednesday | Match 54 | South Africa vs South Korea | 6:00 PM PT | Wednesday,🔥 AFTER 4PM PT
Group E,"Thursday, June 25, at 4:00 PM",1:00 PM,Curacao,Ivory Coast,55,"Lincoln Financial Field, Philadelphia",2026-06-25 16:00:00,Thursday,False,Thursday | Match 55 | Curacao vs Ivory Coast | 1:00 PM PT | Thursday,
Group E,"Thursday, June 25, at 4:00 PM",1:00 PM,Ecuador,Germany,56,"MetLife Stadium, East Rutherford",2026-06-25 16:00:00,Thursday,False,Thursday | Match 56 | Ecuador vs Germany | 1:00 PM PT | Thursday,
Group F,"Thursday, June 25, at 7:00 PM",4:00 PM,Japan,Sweden,57,"AT&T Stadium, Arlington",2026-06-25 19:00:00,Thursday,True,Thursday | Match 57 | Japan vs Sweden | 4:00 PM PT | Thursday,🔥 AFTER 4PM PT
Group F,"Thursday, June 25, at 7:00 PM",4:00 PM,Tunisia,Netherlands,58,"Arrowhead Stadium, Kansas City",2026-06-25 19:00:00,Thursday,True,Thursday | Match 58 | Tunisia vs Netherlands | 4:00 PM PT | Thursday,🔥 AFTER 4PM PT
Group D,"Thursday, June 25, at 10:00 PM",7:00 PM,Turkey,United States,59,"SoFi Stadium, Inglewood",2026-06-25 22:00:00,Thursday,True,Thursday | Match 59 | Turkey vs United States | 7:00 PM PT | Thursday,🔥 AFTER 4PM PT
Group D,"Thursday, June 25, at 10:00 PM",7:00 PM,Paraguay,Australia,60,"Levi's Stadium, Santa Clara",2026-06-25 22:00:00,Thursday,True,Thursday | Match 60 | Paraguay vs Australia | 7:00 PM PT | Thursday,🔥 AFTER 4PM PT
Group I,"Friday, June 26, at 3:00 PM",12:00 PM,Norway,France,61,"Gillette Stadium, Foxborough",2026-06-26 15:00:00,Friday,False,Friday | Match 61 | Norway vs France | 12:00 PM PT | Friday,
Group I,"Friday, June 26, at 3:00 PM",12:00 PM,Senegal,Iraq,62,"BMO Field, Toronto",2026-06-26 15:00:00,Friday,False,Friday | Match 62 | Senegal vs Iraq | 12:00 PM PT | Friday,
Group H,"Friday, June 26, at 8:00 PM",5:00 PM,Cape Verde,Saudi Arabia,65,"NRG Stadium, Houston",2026-06-26 20:00:00,Friday,True,Friday | Match 65 | Cape Verde vs Saudi Arabia | 5:00 PM PT | Friday,🔥 AFTER 4PM PT
Group H,"Friday, June 26, at 8:00 PM",5:00 PM,Uruguay,Spain,66,"Estadio Akron, Zapopan",2026-06-26 20:00:00,Friday,True,Friday | Match 66 | Uruguay vs Spain | 5:00 PM PT | Friday,🔥 AFTER 4PM PT
Group G,"Friday, June 26, at 11:00 PM",8:00 PM,Egypt,Iran,63,"Lumen Field, Seattle",2026-06-26 23:00:00,Friday,True,Friday | Match 63 | Egypt vs Iran | 8:00 PM PT | Friday,🔥 AFTER 4PM PT
Group G,"Friday, June 26, at 11:00 PM",8:00 PM,New Zealand,Belgium,64,"BC Place, Vancouver",2026-06-26 23:00:00,Friday,True,Friday | Match 64 | New Zealand vs Belgium | 8:00 PM PT | Friday,🔥 AFTER 4PM PT
Group L,"Saturday, June 27, at 5:00 PM",2:00 PM,Panama,England,67,"MetLife Stadium, East Rutherford",2026-06-27 17:00:00,Saturday,False,Saturday | Match 67 | Panama vs England | 2:00 PM PT | Saturday,
Group L,"Saturday, June 27, at 5:00 PM",2:00 PM,Croatia,Ghana,68,"Lincoln Financial Field, Philadelphia",2026-06-27 17:00:00,Saturday,False,Saturday | Match 68 | Croatia vs Ghana | 2:00 PM PT | Saturday,
Group K,"Saturday, June 27, at 7:30 PM",4:30 PM,Colombia,Portugal,71,"Hard Rock Stadium, Miami Gardens",2026-06-27 19:30:00,Saturday,True,Saturday | Match 71 | Colombia vs Portugal | 4:30 PM PT | Saturday,🔥 AFTER 4PM PT
Group K,"Saturday, June 27, at 7:30 PM",4:30 PM,DR Congo,Uzbekistan,72,"Mercedes-Benz Stadium, Atlanta",2026-06-27 19:30:00,Saturday,True,Saturday | Match 72 | DR Congo vs Uzbekistan | 4:30 PM PT | Saturday,🔥 AFTER 4PM PT
Group J,"Saturday, June 27, at 10:00 PM",7:00 PM,Algeria,Austria,69,"Arrowhead Stadium, Kansas City",2026-06-27 22:00:00,Saturday,True,Saturday | Match 69 | Algeria vs Austria | 7:00 PM PT | Saturday,🔥 AFTER 4PM PT
Group J,"Saturday, June 27, at 10:00 PM",7:00 PM,Jordan,Argentina,70,"AT&T Stadium, Arlington",2026-06-27 22:00:00,Saturday,True,Saturday | Match 70 | Jordan vs Argentina | 7:00 PM PT | Saturday,🔥 AFTER 4PM PT
Round of 32,"Sunday, June 28, at 3:00 PM",12:00 PM,2A,2B,73,"Sofi Stadium, Inglewood",2026-06-28 15:00:00,Sunday,False,Sunday | Match 73 | 2A vs 2B | 12:00 PM PT | Sunday,
Round of 32,"Monday, June 29, at 1:00 PM",10:00 AM,1C,2F,76,"NRG Stadium, Houston",2026-06-29 13:00:00,Monday,False,Monday | Match 76 | 1C vs 2F | 10:00 AM PT | Monday,
